Store_id;SKU_id;Date;Promo;Demand;Regular_Price;Promo_Price
1;1;01.01.2015;;22;163.78;
1;1;02.01.2015;;41;163.78;
1;1;03.01.2015;;35;163.78;
1;1;04.01.2015;;72;163.78;
1;1;05.01.2015;;25;163.78;
1;1;06.01.2015;;38;163.78;
1;1;07.01.2015;;31;163.78;
1;1;08.01.2015;;35;163.78;
1;1;09.01.2015;;44;163.78;
1;1;10.01.2015;;38;163.78;
1;1;11.01.2015;;60;163.78;
1;1;12.01.2015;;82;163.78;
1;1;13.01.2015;;50;163.78;
1;1;14.01.2015;;50;168.4;
1;1;15.01.2015;;82;168.4;
1;1;16.01.2015;;72;168.4;
1;1;17.01.2015;;69;168.4;
1;1;18.01.2015;;47;168.4;
1;1;19.01.2015;;129;168.4;
1;1;20.01.2015;;97;168.4;
1;1;21.01.2015;;75;168.4;
1;1;22.01.2015;;104;168.4;
1;1;23.01.2015;;31;160.24;
1;1;24.01.2015;;82;160.24;
1;1;25.01.2015;;63;160.24;
1;1;26.01.2015;;138;160.24;
1;1;27.01.2015;;79;160.24;
1;1;28.01.2015;;157;146.92;
1;1;29.01.2015;;195;146.92;
1;1;30.01.2015;;173;146.92;
1;1;31.01.2015;;151;146.92;
1;1;01.02.2015;;160;146.92;
1;1;02.02.2015;;167;146.92;
1;1;03.02.2015;;107;146.92;
1;1;04.02.2015;;138;146.92;
1;1;05.02.2015;;138;146.92;
1;1;06.02.2015;;176;146.92;
1;1;07.02.2015;;160;146.92;
1;1;08.02.2015;;185;146.92;
1;1;09.02.2015;;167;146.92;
1;1;10.02.2015;;292;146.92;
1;1;11.02.2015;;201;146.92;
1;1;12.02.2015;;192;146.92;
1;1;13.02.2015;;210;149.37;
1;1;14.02.2015;;207;149.37;
1;1;15.02.2015;;236;149.37;
1;1;16.02.2015;;141;149.37;
1;1;17.02.2015;1;371;149.37;143.8
1;1;18.02.2015;1;509;149.37;135.64
1;1;19.02.2015;1;851;149.37;135.64
1;1;20.02.2015;1;914;149.37;135.64
1;1;21.02.2015;1;606;149.37;135.64
1;1;22.02.2015;1;829;149.37;135.64
1;1;23.02.2015;1;553;149.37;135.64
1;1;24.02.2015;;192;149.37;
1;1;25.02.2015;;116;149.37;
1;1;26.02.2015;;91;149.37;
1;1;27.02.2015;;248;143.93;
1;1;28.02.2015;;317;143.93;
1;1;01.03.2015;;528;143.93;
1;1;02.03.2015;;371;143.93;
1;1;03.03.2015;1;386;143.93;138.36
1;1;04.03.2015;1;286;143.93;135.64
1;1;05.03.2015;1;361;138.5;135.64
